jobType,workAreaCode,workYear,degree,industryType1,companyType,companySizeCode,jobSalaryMax,jobSalaryMin,term,jobSalaryMaxLevel,jobSalaryMinLevel
0,10500,5.0,5,43.0,2,7.0,2000.0,1500.0,0,1,1
0,10700,0.0,0,54.0,1,4.0,4000.0,2000.0,0,1,1
0,10000,0.0,5,39.0,1,1.0,2000.0,1000.0,0,1,1
0,10200,0.0,0,41.0,1,1.0,3000.0,2000.0,0,1,1
0,999999,0.0,5,2.0,3,2.0,1100.0,1000.0,0,1,1
0,10200,0.0,2,41.0,1,1.0,3000.0,2000.0,0,1,1
0,10000,0.0,4,43.0,1,4.0,3000.0,1500.0,0,1,1
0,10200,0.0,2,41.0,1,1.0,2500.0,2000.0,0,1,1
0,11400,1.0,0,47.0,1,1.0,2500.0,2000.0,0,1,1
0,999999,0.0,4,1.0,1,2.0,2000.0,1000.0,1,1,1
0,11400,1.0,5,47.0,1,2.0,4000.0,2000.0,0,1,1
0,10000,0.0,4,43.0,1,4.0,3000.0,1500.0,0,1,1
0,10800,1.0,5,24.0,5,4.0,3000.0,2000.0,4,1,1
0,10000,1.0,5,43.0,2,3.0,3000.0,1500.0,4,1,1
0,999999,0.0,4,7.0,1,1.0,4000.0,2000.0,0,1,1
0,10600,1.0,4,31.0,1,4.0,3000.0,1500.0,4,1,1
0,11300,1.0,5,14.0,1,1.0,3000.0,2000.0,0,1,1
0,11400,1.0,6,2.0,1,5.0,3500.0,2000.0,0,1,1
0,10200,1.0,6,3.0,5,4.0,2000.0,1500.0,4,1,1
0,10000,1.0,5,32.0,1,4.0,3000.0,2000.0,4,1,1
0,10000,1.0,6,29.0,9,3.0,3000.0,1500.0,4,1,1
0,10500,1.0,5,32.0,1,4.0,2999.0,2000.0,4,1,1
0,10200,1.0,6,3.0,5,4.0,2000.0,1500.0,4,1,1
0,10200,1.0,5,19.0,5,7.0,2000.0,1600.0,4,1,1
0,150208,1.0,5,2.0,6,3.0,4000.0,2000.0,0,1,1
0,10000,1.0,5,3.0,5,5.0,2000.0,1500.0,0,1,1
0,11300,1.0,0,14.0,1,1.0,3000.0,2000.0,0,1,1
0,10600,1.0,4,48.0,5,1.0,3000.0,2000.0,0,1,1
0,10600,1.0,5,61.0,4,5.0,4000.0,2000.0,0,1,1
0,100202,1.0,5,48.0,1,1.0,3000.0,2000.0,0,1,1
0,10000,1.0,6,3.0,5,5.0,3000.0,1500.0,0,1,1
0,10700,1.0,4,32.0,1,1.0,4000.0,2000.0,0,1,1
0,11300,1.0,5,1.0,6,2.0,3000.0,2000.0,0,1,1
0,10000,1.0,6,3.0,5,5.0,3000.0,2000.0,0,1,1
